
:Description: 
:Desc_PDOS: Projected density of states for each orbital. Unit=states/eV
:Desc_FERMI_LEVEL: Fermi level energy. Unit=eV
:Desc_BROADENING: Gaussian broadening parameter for DOS calculation. Unit=eV
:Desc_GRID_POINTS: Number of energy grid points for PDOS calculation
:Desc_MIN_E: Minimum energy for PDOS calculation. Unit=eV
:Desc_MAX_E: Maximum energy for PDOS calculation. Unit=eV
:Desc_BAND_NUM: Number of bands included in the calculation
:Desc_KPT_NUM: Number of k-points used in the calculation
:Desc_ATOM_TYPE_NUM: Number of atom types in the system
:Desc_TOT_ORBITALS: Total number of atomic orbitals
:Desc_PROJ_ORBITALS: Total number of projected orbitals
:Desc_VOLUME: Lattice unit cell volume. Unit=Bohr^3
:Desc_CALCULATION_TIME: Total calculation time. Unit=seconds
:Desc_M_INDEX_SUMMED_OVER: Whether the m index is summed over 
:Desc_ORTHOGONALIZE_ATOMIC_ORBITALS: Whether the atomic orbitals are orthogonalized
:Desc_ATOM_INDEX_FOR_PDOS: The index of the atom for which the PDOS is calculated
:Desc_PDOS_INFO: The information of the PDOS
    :Desc_ATOM_TYPE: The type of the atom
    :Desc_ATOMIC_NUMBER: The atomic number of the atom
    :Desc_ATOM_INDEX: The index of the atom
    :Desc_ATOM_POSITION_CARTESIAN: The position of the atom in Cartesian coordinates
    :Desc_ATOM_POSITION_FRACTIONAL: The fractional position of the atom
    :Desc_PDOS_UNIT: The unit of the PDOS value
    :Desc_HEADER_FORMAT: The format of the header


:BASIC_INFO:
:FERMI_LEVEL: 0.696
:BROADENING: 0.272
:GRID_POINTS: 1000
:MIN_E: -0.774
:MAX_E: 17.706
:BAND_NUM: 12
:KPT_NUM: 1
:ATOM_TYPE_NUM: 1
:TOT_ORBITALS: 16
:PROJ_ORBITALS: 16
:VOLUME: 448.293
:CALCULATION_TIME: 0.374
:M_INDEX_SUMMED_OVER: False
:ORTHOGONALIZE_ATOMIC_ORBITALS: False
:ATOM_INDEX_FOR_PDOS: All



:PDOS_INFO:
    :ATOM_TYPE: Al
    :ATOMIC_NUMBER: 13
    :ATOM_INDEX: 0
    :ATOM_POSITION_CARTESIAN: [0. 0. 0.]
    :ATOM_POSITION_FRACTIONAL: [0. 0. 0.]
    :PDOS_UNIT: states/eV
    :HEADER_FORMAT: (nl,m)
	Energy(eV)   	(3s, m=0)    	(3p, m=-1)   	(3p, m=0)    	(3p, m=1)   
	3.9246716330 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	3.9431706779 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	3.9616697228 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	3.9801687677 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	3.9986678127 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.0171668576 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.0356659025 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.0541649474 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.0726639924 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.0911630373 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.1096620822 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.1281611271 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.1466601721 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.1651592170 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.1836582619 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.2021573068 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.2206563518 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.2391553967 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.2576544416 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.2761534865 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.2946525315 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.3131515764 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.3316506213 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.3501496663 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.3686487112 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.3871477561 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.4056468010 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.4241458460 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.4426448909 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.4611439358 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.4796429807 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.4981420257 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.5166410706 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.5351401155 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.5536391604 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.5721382054 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.5906372503 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.6091362952 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.6276353401 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.6461343851 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.6646334300 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.6831324749 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.7016315198 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.7201305648 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.7386296097 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.7571286546 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.7756276995 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.7941267445 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.8126257894 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.8311248343 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.8496238792 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.8681229242 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.8866219691 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.9051210140 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.9236200589 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.9421191039 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.9606181488 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.9791171937 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	4.9976162387 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.0161152836 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.0346143285 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.0531133734 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.0716124184 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.0901114633 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.1086105082 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.1271095531 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.1456085981 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.1641076430 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.1826066879 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.2011057328 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.2196047778 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.2381038227 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.2566028676 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.2751019125 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.2936009575 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.3121000024 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.3305990473 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.3490980922 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.3675971372 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.3860961821 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.4045952270 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.4230942719 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.4415933169 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.4600923618 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.4785914067 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.4970904516 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.5155894966 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.5340885415 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.5525875864 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.5710866313 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.5895856763 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.6080847212 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.6265837661 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.6450828111 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.6635818560 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.6820809009 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.7005799458 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.7190789908 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.7375780357 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.7560770806 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.7745761255 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.7930751705 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.8115742154 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.8300732603 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.8485723052 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.8670713502 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.8855703951 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.9040694400 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.9225684849 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.9410675299 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.9595665748 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.9780656197 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	5.9965646646 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.0150637096 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.0335627545 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.0520617994 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.0705608443 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.0890598893 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.1075589342 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.1260579791 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.1445570240 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.1630560690 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.1815551139 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.2000541588 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.2185532037 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.2370522487 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.2555512936 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.2740503385 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.2925493835 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.3110484284 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.3295474733 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.3480465182 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.3665455632 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.3850446081 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.4035436530 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.4220426979 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.4405417429 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.4590407878 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.4775398327 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.4960388776 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.5145379226 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.5330369675 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.5515360124 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.5700350573 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.5885341023 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.6070331472 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.6255321921 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.6440312370 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.6625302820 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.6810293269 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.6995283718 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.7180274167 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.7365264617 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.7550255066 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.7735245515 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.7920235964 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.8105226414 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.8290216863 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.8475207312 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.8660197761 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.8845188211 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.9030178660 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.9215169109 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.9400159558 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.9585150008 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.9770140457 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	6.9955130906 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.0140121356 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.0325111805 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.0510102254 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.0695092703 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.0880083153 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.1065073602 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.1250064051 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.1435054500 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.1620044950 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.1805035399 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.1990025848 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.2175016297 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.2360006747 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.2544997196 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.2729987645 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.2914978094 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.3099968544 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.3284958993 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.3469949442 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.3654939891 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.3839930341 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.4024920790 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.4209911239 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.4394901688 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.4579892138 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.4764882587 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.4949873036 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.5134863485 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.5319853935 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.5504844384 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.5689834833 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.5874825282 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.6059815732 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.6244806181 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.6429796630 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.6614787080 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.6799777529 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.6984767978 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.7169758427 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.7354748877 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.7539739326 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.7724729775 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.7909720224 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.8094710674 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.8279701123 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.8464691572 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.8649682021 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.8834672471 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.9019662920 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.9204653369 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.9389643818 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.9574634268 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.9759624717 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	7.9944615166 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.0129605615 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.0314596065 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.0499586514 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.0684576963 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.0869567412 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.1054557862 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.1239548311 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.1424538760 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.1609529209 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.1794519659 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.1979510108 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.2164500557 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.2349491006 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.2534481456 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.2719471905 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.2904462354 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.3089452804 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.3274443253 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.3459433702 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.3644424151 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.3829414601 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.4014405050 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.4199395499 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.4384385948 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.4569376398 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.4754366847 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.4939357296 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.5124347745 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.5309338195 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.5494328644 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.5679319093 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.5864309542 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.6049299992 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.6234290441 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.6419280890 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.6604271339 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.6789261789 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.6974252238 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.7159242687 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.7344233136 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.7529223586 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.7714214035 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.7899204484 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.8084194933 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.8269185383 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.8454175832 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.8639166281 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.8824156730 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.9009147180 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.9194137629 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.9379128078 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.9564118528 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.9749108977 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	8.9934099426 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.0119089875 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.0304080325 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.0489070774 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.0674061223 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.0859051672 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.1044042122 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.1229032571 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.1414023020 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.1599013469 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.1784003919 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.1968994368 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.2153984817 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.2338975266 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.2523965716 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.2708956165 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.2893946614 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.3078937063 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.3263927513 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.3448917962 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.3633908411 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.3818898860 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.4003889310 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.4188879759 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.4373870208 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.4558860657 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.4743851107 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.4928841556 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.5113832005 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.5298822454 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.5483812904 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.5668803353 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.5853793802 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.6038784251 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.6223774701 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.6408765150 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.6593755599 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.6778746049 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.6963736498 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.7148726947 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.7333717396 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.7518707846 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.7703698295 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.7888688744 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
	9.8073679193 	0.0000000000 	0.0000000000 	0.0000000000 	0.0000000000
